State Code,Total  Loans,Avg. Loan Amount,Loan Amount Sum - ALL,Total Purchase Loans,Total Purchase Loans %,Loan Amount Avg - Purchase,Total Loan Amount - Purchase,Total IRRRL Loans,Total IRRRL Loans %,Loan Amount Avg - IRRRL,Total Loan Amount - IRRRL,Total Cash-Out Loans,Total Cash-Out %,Loan Amount Avg - Cash-Out,Total Loan Amount - Cash-Out
PA,"22,120","$243,091","$5,377,168,625","7,771",35.13%,"$248,382","$1,930,176,908","11,525",52.10%,"$244,271","$2,815,226,652","2,824",12.77%,"$223,713","$631,765,065"
PR,963,"$175,797","$169,292,142",694,72.07%,"$173,269","$120,248,866",144,14.95%,"$191,233","$27,537,514",125,12.98%,"$172,046","$21,505,762"
RI,2504,"$302,684","$757,920,805",798,31.87%,"$331,449","$264,496,104",1323,52.84%,"$290,550","$384,397,208",383,15.30%,"$284,667","$109,027,493"
SC,"31,929","$254,714","$8,132,774,023","12,365",38.73%,"$262,890","$3,250,629,811","15,975",50.03%,"$251,085","$4,011,079,087","3,589",11.24%,"$242,704","$871,065,125"
SD,"3,778","$247,861","$936,417,639",1411,37.35%,"$253,572","$357,790,036",1814,48.01%,"$246,546","$447,234,634",553,14.64%,"$237,600","$131,392,969"
TN,"32,117","$253,840","$8,152,584,899","12,138",37.79%,"$266,734","$3,237,614,582","15,758",49.06%,"$247,569","$3,901,190,041","4,221",13.14%,"$240,175","$1,013,780,276"
TX,"103,707","$275,612","$28,582,891,123","48,902",47.15%,"$281,062","$13,744,508,551","53,313",51.41%,"$269,459","$14,365,645,634","1,492",1.44%,"$316,848","$472,736,938"
UT,"15,210","$326,237","$4,962,064,269","4,163",27.37%,"$357,636","$1,488,840,718","8,206",53.95%,"$313,786","$2,574,925,192","2,841",18.68%,"$316,191","$898,298,359"
VA,"80,418","$366,537","$29,476,203,776","26,764",33.28%,"$373,966","$10,008,821,276","45,726",56.86%,"$363,740","$16,632,362,191","7,928",9.86%,"$357,596","$2,835,020,309"
VI,30,"$432,891","$12,986,720",24,80.00%,"$441,282","$10,590,776",3,10.00%,"$438,604","$1,315,813",3,10.00%,"$360,044","$1,080,131"
VT,1243,"$248,917","$309,403,954",490,39.42%,"$255,645","$125,265,828",587,47.22%,"$245,966","$144,382,060",166,13.35%,"$239,494","$39,756,066"
WA,"52,435","$356,402","$18,687,938,497","14,370",27.41%,"$398,127","$5,721,089,537","29,049",55.40%,"$342,026","$9,935,503,205","9,016",17.19%,"$336,218","$3,031,345,755"
WI,"14,274","$230,199","$3,285,860,476","4,518",31.65%,"$239,323","$1,081,260,539","7,717",54.06%,"$227,490","$1,755,543,809","2,039",14.28%,"$220,234","$449,056,128"
WV,"4,572","$224,704","$1,027,345,743",1891,41.36%,"$226,354","$428,035,086",2094,45.80%,"$226,434","$474,152,580",587,12.84%,"$213,216","$125,158,077"
WY,"3,673","$275,174","$1,010,714,658",1268,34.52%,"$286,917","$363,810,122",1908,51.95%,"$265,829","$507,201,034",497,13.53%,"$281,094","$139,703,502"
